Paper Title,Format,Year,Author 1,Role 1,Author Affiliation 1,Author 2,Role 2,Author Affiliation 2,Author 3,Role 3,Author Affiliation 3,Author 4,Role 4,Author Affiliation 4,Author 5,Role5,Author Affiliation 5,Country of Origin,Conference or Journal,Location of Conference,Method 1,Method 2,Method 3,Source,abstract,Class1,Class2,Class3,,,,,,,,,,,,,,,,,,,,,,
Don't they know how important it is?,C,2006,Hart,Lecturer,University of the Western Cape,,,,,,,,,,,,,Africa,International Association of School Librarianship,Portugal,Observation,Interview,Qualitative,http://repository.uwc.ac.za/xmlui/handle/10566/471?show=full,"The paper comes out of a month-long case study of information literacy education in two public libraries in a small South African town in the rural province of Mpumalanga, undertaken in October 2004. The participant observation study is the second phase of a two-phase mixed methods study, which explores the capacity of public libraries in South Africa for information literacy education  in the context of the dire shortage of school libraries. The focus in the second phase is on the connections between public libraries and schools. However, the relations between the two libraries and their staff members are found to impact on these relations with the study finding that historical context and the conflicts arising from unequal positions of power impact significantly on information literacy education in the town. The paper concentrates, however, on just two threads of enquiry: the views of teachers and principals in the seven schools of the town on the educational role of libraries as revealed in interviews; and pupils use of the two public libraries in seeking information for their school assignments. The study reveals a lack of cognizance of the high level demands of information-seeking in libraries among the teachers. They tend to see the library as a warehouse from which things are fetched. The study finds a paradox  a gulf certainly exists between the public libraries and schools buts but the gulf comes from shared limited conceptions of the educational role of public libraries and of information literacy. The intense gaze of the participant observation contributes a nuanced understanding of the challenges for information literacy education in South Africa.",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Social responsibility in the global village: What role for public and school libraries?,C,2006,Henri,Professor,University of Hong Kong,Lee,Lecturer,,,,,,,,,,,Hong Kong,International Association of School Librarianship,Portugal,Analysis,,Qualitative,http://search.proquest.com/docview/236087334/abstract?accountid=14474,"In our global village dominated by economic rationalism does the public library have a social conscience? Issues given prominence by Patricia Glass Schuman's Social Responsibilities and Libraries, published in 1976 were revisited. As an area of larger community structure and debates of public good, the perennial topic of interest is fast becoming the current hot topic of librarianship. Literacy and learning have long been critical areas where librarians focus service, skills and programming in public libraries. This research project seeks to examine how librarians perceive other issues that often go hand-in-hand with literacy to help individuals and society achieve full potential. The research in this presentation and paper is part of a coauthored book that primarily examined politics and the public library discussing issues given new flavour in a post 9/11 world, economic rationalism and social responsibility, public Library as Social Space, engaging the poor and those marginalized because of access limitations. Freedom of information and privacy are perennial issues for libraries. It is clear that literacy continues to be a key issue for public libraries. Researchers analyzed responses received from open-ended questions on library professional listservs and present findings that indicate what librarians perceive as the role of public libraries to further socially responsible policy. They provide some insight into the most compelling issues for librarians, and what changes in librarian's/library roles have been perceived since 9/11. The findings from the study are also presented in the context of the impact it bears for school libraries, outlining further studies in that area. [PUBLICATION ABSTRACT]",Programming,,,,,,,,,,,,,,,,,,,,,,,,
A critical evaluation of year 7 studnets' reflections on the use of information skills when completing a curriculum related project,C,2006,Herring,Lecturer,Charles Sturt University,,,,,,,,,,,,,Australia,International Association of School Librarianship,Portugal,Questionnaire,,Mixed,http://search.proquest.com/docview/236047255?pq-origsite=gscholar,"While there have been a large number of books, articles and reports on information literacy in schools, there is a lack of empirical evidence in relation to the use of information literacy models in schools, Wolf (2003) and Herring, Tarter and Naylor (2000 and 2002) being exceptions. The purpose of this pilot study was to examine students' reflections on the information skills process following the use of an information skills scaffold (the PLUS model) during the completion of an assignment in a secondary school in the UK. The study takes a constructivist approach and data was gathered via a post-assignment questionnaire given to students. Results show that students' confidence was variable at the start of the assignment; that students found the completion of a concept map to be generally helpful; that almost 50% of students found that completing a concept map made them more confident; that students used the concept map when searching for information; that students used a range of print and electronic sources of information; that students' preferences for using particular types of resources included both print and electronic sources; that students found the PLUS model to be helpful with their project; and that most students were prepared to consider using the model when completing future assignments. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Strategie study of on-line reading clubs in senior high school libraries of Taiwan,C,2006,Jiann-Cherng,Professor,National Taiwan Normal University,Su-Ling,Teacher,,,,,,,,,,,Taiwan,International Association of School Librarianship,Portugal,Questionnaire,Interview,Mixed,http://search.proquest.com/docview/236047297/abstract?accountid=14474,"In this 21st century, information flow has already reached a matured level. It is the time to promote on-line reading clubs, as high school students generally possess the ability to study by themselves through the internet. In 1990, Taiwan Ministry of Education announced the plan to practice inter-schools on-line reading clubs for all high schools and constructed the students' website to achieve a significant milestone for on-line reading clubs on campus. The on-line reading clubs are running through interactive web pages, electronic book stores, discussion boards, knowledge sharing etc. The essence of these clubs is the combination of key elements: reading, materials and communication. In this research, we first conduct with questionnaire and interview approaches to study their current situations, executive guidelines, resource requirements, performance evaluations and operating strategies of on-line reading clubs in Taiwan. Then we give a blueprint of well-function on-line reading club web environment to encourage students to involve in the clubs and cultivate inter-school reading. Finally, we propose strategic suggestions for practicing on-line reading clubs in senior high school libraries. [PUBLICATION ABSTRACT]",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
The teaching of information literacy skills in Botswana's community secondary schools: A study of Gaborone region,C,2006,Jorosi,Lecturer,University of Botswana,Isaac,Librarian,,,,,,,,,,,Botswana,International Association of School Librarianship,Portugal,Interviews,,Qualitative,http://search.proquest.com/docview/236036596?pq-origsite=gscholar,"The study investigated the teaching of information literacy skills in select Junior Community Secondary Schools (CJSS) situated in the city of Gaborone, Botswana. Data were gathered from a sample of ten teacher librarians via face-to-face interviews with the aid of a five-question interview schedule. The key findings of the study were: (1) respondents had varying interpretations of. what constituted information literacy skills, (2) a variety of skills were taught under the rubric information literacy skills; (3) by and large, the teaching of information literacy skills was done by teacher-librarians and subject librarians, (4) the main approaches in teaching information literacy skills involved library orientation and the use of the English Language Period, and (5) respondents cited the three challenges, namely, the absence of an office dedicated to school libraries, an exam oriented curriculum and shrinking financial resources. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Running with the question: Action reseach and evaluative practice in developoing an adolescent reading program,C,2006,Kurvink,Librarian,Wesley College,Turnbull,Librarian,,,,,,,,,,,Australia,International Association of School Librarianship,Portugal,Interviews,,Qualitative,http://search.proquest.com/docview/236036666/abstract?accountid=14474,"This paper describes how Action Research methodology developed the wider reading programs for children from 9-13 years at Wesley College over a 5-year period. The central question revolved around how the library team could engage every child in years 5 to 7 in wider reading. Strategies used in the program were: Engaging interactive online components, Highly responsive collection development approaches, Hard data collection on usage, and Qualitative measures undertaken by the team in adopting evaluative practice. Interesting and unexpected results began to inform decision making for the team highlighting gender issues in adolescent reading, and a need to re-examine some basic assumptions about the ways students select books for personal reading. The paper chronicles how the team learned from experience to bring about new defined cycles of development and improvement to the program, which has evolved and expanded far beyond the initial concepts [PUBLICATION ABSTRACT]",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
Library practice patterns in community high schools project,C,2006,Lan,Librarian,National Yang Ming Senior High School,Shieh,Professor,,,,,,,,,,,Taiwan,International Association of School Librarianship,Portugal,Document Analysis,Questionnaires,Qualitative,http://search.proquest.com/docview/236047397?pq-origsite=gscholar,"In this article, we try to investigate the community high schools project policies implemented by current educational units in Taiwan through document analysis and questionnaire survey methods. We also investigate what role the school library should play and what jobs the school library should promote in the point of view of a director of library in a senior high school. We try to conclude operation items which meet the spirits of government's policies. In the mean time, based on a thinking that the school library should participate in local cultural activities aggressively, we try to investigate further, when the availability of school is extended into local community, what would be the possible cooperative contents and ways between school library and the local community? The research result is going to be used as a reference for future development and operation of school library in senior high school and vocational high school. [PUBLICATION ABSTRACT]",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
From one-to-one to one-to-many: An instrumental case study of a pre-service teacher librarian in the U.S.,C,2006,Mardis,Professor,Wayne State University,,,,,,,,,,,,,United States,International Association of School Librarianship,Portugal,Case study,,Qualitative,http://sites.google.com/site/marciamardis/mardiscaselocked.pdf,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,
Impact study of the teacher librarian specific training on educaitonal achievement: Current situation at integrated elementray schools (EBIs),C,2006,Novo,Doctoral Student,"DCTI, ISCTE",Calixto,Director,,,,,,,,,,,Portugal,International Association of School Librarianship,Portugal,Questionnaire,,Mixed,http://search.proquest.com/docview/236098918?pq-origsite=gscholar,"This paper presents the current situation of the school library teams' specific training in the Portuguese Integrated Elementary Schools that in 2005 were already in the Portuguese School Libraries' Network. Other countries' studies, like the ones from the USA and UK, suggest that students achieve higher levels of literacy, learning and problem solving when teacher librarians have specific training to perform their duties. The analysis of data gathered from a questionnaire shows that 32% of the Portuguese school librarians do not have any kind of specific training. This scenario suggests that there hasn't been any significant improvement since 10 years ago especially in what school librarians' training is concerned. [PUBLICATION ABSTRACT]",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
"Canadian books in Canadian schools: The need for teacher/teacher-librarina collaboration in reading, knowing and doing",C,2006,Oberg,Professor,University of Alberta,,,,,,,,,,,,,Canada,International Association of School Librarianship,Portugal,Survey,Interviews,Qualitative,http://search.proquest.com/docview/236045995/abstract?accountid=14474,"This Canadian research which explored elementary teachers' use of, and beliefs about, Canadian children's books in the classroom, has implications for teacher-librarians and other educators in many countries faced with the impact of the homogenization and ""Disney-fication"" of children's books and other media. The research builds on previous studies which identified some of the supports that facilitate elementary teachers' use of children's books in their teaching (e.g., access to teacher-librarians, funding for materials, and opportunities for professional development). The case study school district was committed to supporting the work of teachers through the school library and had these supports in place. The study participants had clear ideas about what it meant to them to be Canadian and about the values that were important to them as Canadians. They believed it was important to incorporate Canadian books into classroom activities. However, they often felt a need to justify their use of Canadian books, whereas they unquestioningly used American books in their teaching across the curriculum. Overall, they were more knowledgeable about Canadian books and Canadian authors and illustrators than teachers in earlier studies. The teachers relied on the recommendations of the teacher-librarians about books, but they rarely collaborated with teacher-librarians in selecting and using Canadian books with their students. The research report concludes with questions about lost potential in terms of the power of books to enhance children's sense of national identity and their sense of social cohesion. [PUBLICATION ABSTRACT]",Reading & Reading Promotion,,,,,,,,,,,,,,,,,,,,,,,,
An investigation into the teaching of information literacy skills by teachers in New Zealand secondary schools,C,2006,Probert,Lecturer,The University of Auckland,,,,,,,,,,,,,New Zealand,International Association of School Librarianship,Portugal,Questionnaire,Focus groups,Mixed,http://search.proquest.com/docview/236046066/abstract?accountid=14474,"There is very little research looking at how much teachers from any country actually know about information literacy and at how they develop information literacy skills with their students. This contrasts research in recent years which focuses on the influence that school libraries, teacher librarians and/or library media specialists have on student learning. For some time international government and educational bodies, including New Zealand, have recognised that all citizens need skills and processes to enable them to become information literate. This paper reports on findings from a research project which investigated the understanding, knowledge and teaching of information literacy processes of secondary teachers from five urban co-educational state secondary schools. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Marketing strategies of Tuku vocational high school's (TKVS) Library in Taiwan,C,2006,Wu,Director,National Tuku Vocational High School in Taiwan,,,,,,,,,,,,,Taiwan,International Association of School Librarianship,Portugal,Questionnaire,Interview,Qualitative,http://search.proquest.com/docview/236047523?pq-origsite=gscholar,"Traditionally, rather than using books in the library, a typical Asian student preferred reading and studying from textbooks in order to pass the college entrance examination. Likewise, this trend was the same in the small suburban town in Taiwan like Tuku with the area is 46 square kilometer, its population of 32,000 people, and 70 percent of its population is farmers. Due to its agriculture background, there are only two libraries to service its residents, one is the public high school's library that belongs to Tuku Vocational High School that has approximately about 28 classes and 1000 students while the other is Tuku's public library. Hao-Yen discusses the marketing strategies of Tuku Vocational High School's Library in Taiwan.",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
Attitudes of Israeli high school librarians regarding library censorship: Preliminary findings,C,2006,Yitzhaki,Lecturer,Bar-Ilan University,Sharabi,Librarian,,,,,,,,,,,Israel,International Association of School Librarianship,Portugal,Questionnaire,,Mixed,http://search.proquest.com/docview/236098948/abstract?accountid=14474,"The study sought to determine the attitudes of high school librarians in Israel, a country whose population is characterized by modern western outlook and norms on one hand and deeply rooted tradition and conservatism on the other. A questionnaire including, besides demographic questions, 17 statements concerning censorship, was mailed to 442 schools (two-thirds of the population) and yielded 187 usable replies, a 42.3% response rate. A positive correlation was found between the librarians' attitude regarding censorship, both in principle and in practice, and the sectorial affiliation of their school: librarians in the orthodox sectors displayed greater agreement with censorship, probably striving to conserve traditional values. [PUBLICATION ABSTRACT]",Intellectual Freedom,,,,,,,,,,,,,,,,,,,,,,,,
Are trained teacher-librarians making a difference for school libraries in South Africa?,C,2006,Zinn,Lecturer,Univeresity of the Western Cape,,,,,,,,,,,,,South Africa,International Association of School Librarianship,Portugal,Questionnaire,,Mixed,http://search.proquest.com/openview/27f0c5f378b96f06bb7b720eeef40386/1?pq-origsite=gscholar,"The purpose of this research was to trace former UWC students who trained as teacher-librarians between 1976 and 2000 in order to ascertain how influential they have been in their school's library and reading programmes. The study revealed that although most respondents had progressed in rank at schools, their role in the library programme was minimal. Most schools had either no library or defunct library programmes. Respondents were much more active in formal reading programmes. Computers with Internet access were evident at most schools but teachers were using computers mostly for managing marks and setting exams. [PUBLICATION ABSTRACT]",Programming,,,,,,,,,,,,,,,,,,,,,,,,
A study of information literacy initiatives between secondary schools and universities in the UK,C,2006,Lonsdale,Lecturer,University of Wales,Armstrong,Director,,,,,,,,,,,UK,International Association of School Librarianship,Portugal,Questionnaire,,Qualitative,http://eprints.rclis.org/7832/,"This paper discusses the nature and conclusions of the second phase of a two-part project, CrossEd, undertaken between autumn 2004 and autumn 2005 and funded by the Joint Information Systems Committee in the UK. The study investigated collaborations taking place between secondary schools and universities in the provision of information literacy skilling relating to the use of e-resources. A survey of all university libraries in the UK was undertaken using an e-mail questionnaire to identify the incidence of current collaboration. The data from that survey provided information on the types of collaboration taking place. These were categorised and used to select the survey population of six university libraries for the qualitative study. Data collection was by means of face-to-face and telephone interviews with university librarians, using semi-structured interview schedules. Six types of training for school pupils were identified, and the research revealed at least seven distinct positive aspects of cross-sectoral collaboration for school pupils. A fundamental lack of understanding of the respective roles of secondary school and university librarians was evident, and a range of issues to be addressed by librarians in both educational sectors was identified. A strategy for enhancing collaboration in the UK is also discussed.",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
"Factors hindering high school library success as viewed by librarians, teachers and principals in Israel",C,2005,Yitzhaki,Lecturer,Bar-Ilan Universtiy,Anzenberg,Librarian,,,,,,,,,,,Israel,International Association of School Librarianship,Hong Kong,Questionnaire,,Quantitative,http://search.proquest.com/docview/236046809?pq-origsite=gscholar,"The paper presents findings of a wide-scale national study of which one objective was to identify main obstacles hindering high school librarians from successfully carrying out their tasks. Similar detailed questionnaires were mailed to librarians, teachers and principals in a cluster sample of 234 schools (one-third of target population), rendering 137 usable questionnaires (58.5%). The three groups rated quite similarly the obstacles. First and foremost were the scarcities of resources and manpower. Third was inadequate professional training, which was found to include: inadequate training in information technology and in librarianship, scarce skills in management, communication and public relations, as well as lack of training in instruction and lack of familiarity with curriculum and its development. Fourth was the principal's and teaching staff's lack of awareness and recognition of library importance, also acknowledged by principals and teachers. Additional obstacles mentioned were poor physical conditions, discipline problems and the character of the librarian and staff. Recommendations include: promoting understanding of school library and librarian roles by writing Israeli Information Power and by offering courses to principals and teachers on school library's roles, adding personnel positions in school libraries and emphasizing technological topics in library education programs. [PUBLICATION ABSTRACT]",Programming,,,,,,,,,,,,,,,,,,,,,,,,
Literacy in the information age: examining the convergence of information literacy instruciton and assessment with theory and policy,C,2005,Asselin,Professor,University of British Columbia,Early,Professor,,Filipenko,Assistant Professor,,,,,,,,Canada,International Association of School Librarianship,Hong Kong,Questionnaire,,Mixed,http://search.proquest.com/docview/236088165?pq-origsite=gscholar,"Competencies associated with information literacy are becoming increasingly embedded in literacy policy and curriculum; however, little is known about the extent to which instruction and assessment are aligned with current directives. This paper presents two studies designed to examine the state of instruction and assessment of information literacy in Canadian public education. Findings from these studies showed that although instruction of basic levels of information processes is taking place, there is significantly less emphasis on higher-level aspects of information literacy. In regards to assessment, items related to information literacy are not included on large-scale literacy tests thus potentially affecting how teachers allot their instructional time. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Collaborative planning and team teaching in a large lecture hall: modeling leadership for change,C,2005,Branch,Professor,University of Alberta,Macy,Instructor,,McClay,Associate Professor,,,,,,,,Canada,International Association of School Librarianship,Hong Kong,Interviews,,Qualitative,http://search.proquest.com/docview/236099682/abstract?accountid=14474,"This paper presents data from initial interviews of instructors collaboratively planning a new course in the Faculty of Education at the University of Alberta. There is a need to investigate the courses we offer in pre-service teacher education in order to understand the best ways to prepare pre-service teachers for teaching in today's ever changing environments. The interviews were the first part of an action research cycle that follows students and instructors through the initial implementation of the course. The paper discusses the collaborative process and highlights five themes that emerged from the data: fear and risk-taking, control, course content, process, and the possibilities for positive change. Recommendations for pre-service teacher educators and teacher-librarians involved in collaboration are included. Through studying the implementation of this complex course, the research will provide us with information to improve the course and to offer our experiences as models for others involved in such a process. [PUBLICATION ABSTRACT]",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
Regional school library coordinators' visions of quality school library programs and their role in helping to achieve them,C,2005,Buckley,Teacher Librarian,York Catholic District School Board,,,,,,,,,,,,,Canada,International Association of School Librarianship,Hong Kong,Interviews,,Qualitative,http://search.proquest.com/docviewux/235959771/abstract?accountid=14474,"A school library coordinator is a position of central leadership for district school boards. The visions of six Canadian school library coordinators about aspects of strong school library programs, and how their role helps achieve them are investigated in this qualitative interview-based study. Results showed that coordinators felt their roles of providing professional development and advocating for school libraries help create school library programs that improve student achievement. For the future, they envisioned a greater role for school libraries in education, with greater collaboration between school library, technology, literacy, and public library circles. A need for greater provincial government support for school libraries was identified. This study explored the values and hopes of school library leaders in Canada, and indicated that a coordinator can do much to support districts' school libraries and media centers. [PUBLICATION ABSTRACT]",Methodology,,,,,,,,,,,,,,,,,,,,,,,,
Supporting information leadership in a culture of change: Researchers in School Librarianship,C,2005,Clyde,Professor,The University of Iceland,,,,,,,,,,,,,Iceland,International Association of School Librarianship,Hong Kong,Questionnaire,,Quantitative,http://search.proquest.com/docview/236037534?pq-origsite=gscholar,"One aspect of the author's ongoing ""Research and Researchers in School Librarianship"" project is described here, a study of the researchers in this field. Data collection was based on a questionnaire survey of ""current researchers"" who have published research articles or papers in the field of school librarianship, in English, from 1999 to 2003 inclusive. Data collection and analysis was ongoing when this conference paper was prepared; this is a preliminary report based primarily on the returns of researchers who had published three or more research articles during the five-year period. Questions addressed include the following: Who writes research articles and papers in English in the field of school librarianshop? How many researchers are there in our field? What are the characteristics of the researchers? What issues are of concern to the researchers and what do they perceive to be the barriers to doing research? [PUBLICATION ABSTRACT]",Other Studies,,,,,,,,,,,,,,,,,,,,,,,,
Accelerated Reader and information police information literacy and knowledge management: U.S. and internation implications,C,2005,Everhart,Professor,Florida State University,Dresang,Professor,,Kotrla,Lecturer,,,,,,,,USA,International Association of School Librarianship,Hong Kong,Interviews,Questionnaires,Mixed,http://search.proquest.com/docview/236099821?pq-origsite=gscholar,"Qualitative and quantitative analyses of the relationship between the Accelerated Reader (AR), a computerized reading management program, and information policy, information literacy, and knowledge management are drawn from data collected in the U.S., Scotland, and England. A study of 632 of the poorest U.S. schools shows a strong relationship between national information policy regarding achievement in the No Child Left Behind Act of 2001 and local decisions to use AR, expectations for literacy, and library collection development. Investigation in the U.K. schools finds that (a) motivational style interacts with gender in relation to the competitive and social aspects of the AR program, (b) the level of program implementation does not correlate with breadth of reading, and (c) management aspects of the program are not utilized effectively. Results suggest that how the AR program relates to information policy, information literacy, and knowledge management has importance for school librarians and libraries. [PUBLICATION ABSTRACT]",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
